6,050	12,015	1,050	9,015	10,000	1,000	6,100
8,150	10,100	1,150	9,109	15,800	2,100	4,200
10,200	8,125	1,192	9,125	22,500	2,500	3,500
12,250	6,175	2,250	9,175	25,700	3,510	2,720
14,325	5,200	4,325	9,198	32,500	4,200	2,530
16,350	4,250	6,350	9,251	35,000	5,020	2,100
18,490	3,400	8,411	9,495	40,700	8,200	1,150
20,698	2,500	10,505	10,498	51,800	10,100	0,720
22.900	2,700	12,610	11,598	65,000	12,800	0,540
18,450	3,700	14,695	13,699	82,000	14,400	0,150
16,750	4,750	15,750	15,748	95,400	14,700	0,550
14,800	5,775	17,804	17,775	102,800	15,500	1,760
12,950	6,800	19,850	19,798	117,000	16,300	2,230
10,840	7,850	18,050	21,850	125,780	16,700	3,610
8,910	8,855	16,910	23,855	97,000	16,900	5,160
15,925	10,865	14,925	25,865	95,500	17,500	8,250
14,929	12,885	12,011	27,875	93,900	17,700	11,370
13,933	14,915	10,933	25,899	91,500	18,200	13,260
12,935	16,950	8,935	23,951	79,580	19,100	15,510
11,950	18,975	6,950	21,975	55,400	19,500	17,740
10,810	20,995	4,950	19,015	31,500	21,000	13,140
8,750	22,975	2,108	17,975	12,500	23,560	11,350
6,150	19,950	1,251	15,950	10,800	25,300	8,580
5,200	18,900	3,204	13,915	8,500	28,700	6,740
4,450	17,875	5,248	11,875	4,400	31,560	4,850
7,325	15,865	8,325	9,865	2,500	27,100	6,210
8,350	13,855	11,351	7,855	5,300	24,700	9,520
9,400	11,850	15,408	5,850	8,700	26,200	10,750
10,500	9,775	17,495	3,775	11,200	23,700	8,100
12,600	7,750	15,607	1,750	14,700	20,360	6,100
14,700	5,710	13,697	3,697	17,800	17,700	4,150
16,750	3,603	11,750	5,605	20,100	13,340	2,360
18,800	2,495	9,798	7,495	40,520	11,720	1,350
19,850	4,394	7,850	9,415	65,200	9,900	2,130
17,907	6,245	5,913	11,255	80,760	7,740	4,570
15,910	8,192	3,910	13,205	91,100	6,360	6,750
13,925	10,175	2,925	11,175	109,500	5,700	9,260
11,929	12,125	1,929	9,125	122,900	4,750	11,790
9,010	14,105	3,933	7,091	108,300	3,650	13,120
7,935	12,010	5,935	5,985	84,500	3,520	15,360
5,950	10,110	7,950	3,115	58,600	2,720	12,850
5,020	8,115	9,995	1,115	35,800	2,340	10,340
4,050	6,128	11,950	2,120	15,260	2,160	8,680
5,935	4,131	13,935	4,130	9,520	1,760	5,320
6,925	2,135	15,925	6,135	4,800	1,480	2,160
