6.5750	18.00	2.310	65.20	4.0900	1	0.5380	0.00632	296.0	15.30	396.90	4.98
6.0120	12.50	7.870	66.60	5.5605	5	0.5240	0.08829	311.0	15.20	395.60	12.43
6.1720	12.50	7.870	96.10	5.9505	5	0.5240	0.14455	311.0	15.20	396.90	19.15
5.6310	12.50	7.870	100.00	6.0821	5	0.5240	0.21124	311.0	15.20	386.63	29.93
6.0040	12.50	7.870	85.90	6.5921	5	0.5240	0.17004	311.0	15.20	386.71	17.10
6.3770	12.50	7.870	94.30	6.3467	5	0.5240	0.22489	311.0	15.20	392.52	20.45
6.0090	12.50	7.870	82.90	6.2267	5	0.5240	0.11747	311.0	15.20	396.90	13.27
5.8890	12.50	7.870	39.00	5.4509	5	0.5240	0.09378	311.0	15.20	390.50	15.71
6.5950	75.00	2.950	21.80	5.4011	3	0.4280	0.02763	252.0	18.30	395.63	4.32
7.0240	75.00	2.950	15.80	5.4011	3	0.4280	0.03359	252.0	18.30	395.62	1.98
5.9630	21.00	5.640	45.70	6.8147	4	0.4390	0.08873	243.0	16.80	395.56	13.45
6.1150	21.00	5.640	63.00	6.8147	4	0.4390	0.04337	243.0	16.80	393.97	9.43
6.5110	21.00	5.640	21.10	6.8147	4	0.4390	0.05360	243.0	16.80	396.90	5.28
5.9980	21.00	5.640	21.40	6.8147	4	0.4390	0.04981	243.0	16.80	396.90	8.43
5.8880	75.00	4.000	47.60	7.3197	3	0.4100	0.01360	469.0	21.10	396.90	14.80
7.2490	90.00	1.220	21.90	8.6966	5	0.4030	0.01311	226.0	17.90	395.93	4.81
6.3830	85.00	0.740	35.70	9.1876	2	0.4100	0.02055	313.0	17.30	396.90	5.77
6.8160	100.00	1.320	40.50	8.3248	5	0.4110	0.01432	256.0	15.10	392.90	3.95
6.1450	25.00	5.130	29.20	7.8148	8	0.4530	0.15445	284.0	19.70	390.68	6.86
5.9270	25.00	5.130	47.20	6.9320	8	0.4530	0.10328	284.0	19.70	396.90	9.22
5.7410	25.00	5.130	66.20	7.2254	8	0.4530	0.14932	284.0	19.70	395.11	13.15
5.9660	25.00	5.130	93.40	6.8185	8	0.4530	0.17171	284.0	19.70	378.08	14.44
6.4560	25.00	5.130	67.80	7.2255	8	0.4530	0.11027	284.0	19.70	396.90	6.73
6.7620	25.00	5.130	43.40	7.9809	8	0.4530	0.12650	284.0	19.70	395.58	9.50
7.1040	17.50	1.380	59.50	9.2229	3	0.4161	0.01951	216.0	18.60	393.24	8.05
6.2900	80.00	3.370	17.80	6.6115	4	0.3980	0.03584	337.0	16.10	396.90	4.67
5.7870	80.00	3.370	31.10	6.6115	4	0.3980	0.04379	337.0	16.10	396.90	10.24
5.8780	12.50	6.070	21.40	6.4980	4	0.4090	0.05789	345.0	18.90	396.21	8.10
5.5940	12.50	6.070	36.80	6.4980	4	0.4090	0.13554	345.0	18.90	396.90	13.09
5.8850	12.50	6.070	33.00	6.4980	4	0.4090	0.12816	345.0	18.90	396.90	8.79
6.7270	25.00	4.860	33.50	5.4007	4	0.4260	0.04113	281.0	19.00	396.90	5.29
6.6190	25.00	4.860	70.40	5.4007	4	0.4260	0.04462	281.0	19.00	395.63	7.22
6.3020	25.00	4.860	32.20	5.4007	4	0.4260	0.03659	281.0	19.00	396.90	6.72
6.1670	25.00	4.860	46.70	5.4007	4	0.4260	0.03551	281.0	19.00	390.64	7.51
6.4420	28.00	15.040	53.60	3.6659	4	0.4640	0.04203	270.0	18.20	395.01	8.16
6.2110	28.00	15.040	28.90	3.6659	4	0.4640	0.02875	270.0	18.20	396.33	6.21
6.2490	28.00	15.040	77.30	3.6150	4	0.4640	0.04294	270.0	18.20	396.90	10.59
6.7820	45.00	3.440	41.10	3.7886	5	0.4370	0.07875	398.0	15.20	393.87	6.68
6.5560	45.00	3.440	29.10	4.5667	5	0.4370	0.12579	398.0	15.20	382.84	4.56
7.1850	45.00	3.440	38.90	4.5667	5	0.4370	0.08370	398.0	15.20	396.90	5.39
6.9510	45.00	3.440	21.50	6.4798	5	0.4370	0.09068	398.0	15.20	377.68	5.10
6.7390	45.00	3.440	30.80	6.4798	5	0.4370	0.06911	398.0	15.20	389.71	4.69
7.1780	45.00	3.440	26.30	6.4798	5	0.4370	0.08664	398.0	15.20	390.49	2.87
6.8000	60.00	2.930	9.90	6.2196	1	0.4010	0.02187	265.0	15.60	393.37	5.03
6.6040	60.00	2.930	18.80	6.2196	1	0.4010	0.01439	265.0	15.60	376.70	4.38
7.8750	80.00	0.460	32.00	5.6484	4	0.4220	0.01381	255.0	14.40	394.23	2.97
7.2870	80.00	1.520	34.10	7.3090	2	0.4040	0.04011	329.0	12.60	396.90	4.08
7.1070	80.00	1.520	36.60	7.3090	2	0.4040	0.04666	329.0	12.60	354.31	8.61
7.2740	80.00	1.520	38.30	7.3090	2	0.4040	0.03768	329.0	12.60	392.20	6.62
6.9750	95.00	1.470	15.30	7.6534	3	0.4030	0.03150	402.0	17.00	396.90	4.56
7.1350	95.00	1.470	13.90	7.6534	3	0.4030	0.01778	402.0	17.00	384.30	4.45
6.1620	82.50	2.030	38.40	6.2700	2	0.4150	0.03445	348.0	14.70	393.77	7.43
7.6100	82.50	2.030	15.70	6.2700	2	0.4150	0.02177	348.0	14.70	395.38	3.11
7.8530	95.00	2.680	33.20	5.1180	4	0.4161	0.03510	224.0	14.70	392.78	3.81
8.0340	95.00	2.680	31.90	5.1180	4	0.4161	0.02009	224.0	14.70	390.55	2.88
6.4810	30.00	4.930	18.50	6.1899	6	0.4280	0.08244	300.0	16.60	379.41	6.36
