36	3
118.2381185	188.8888889	7952.380952
118.2381185	188.8888889	7952.380952
121.7330486	191.9753086	8256.17284
108.9386442	181.7365269	8467.065868
109.2212859	182.4712644	8727.011494
109.8120107	191.8256131	8825.613079
100.4227002	186.8556701	8992.268041
123.8445558	231.5315315	10092.34234
107.9198724	207.0993915	9847.870183
110.3386151	191.0780669	9834.572491
100.0272553	185.1851852	9234.567901
100.1469051	196.4114833	9569.37799
104.9209139	170.2987698	10094.90334
99.17491749	151.8151815	10333.33333
101.993865	190.2129908	10687.11656
93.66391185	212.1232148	10581.26722
87.37864078	196.818595	10219.66019
81.07810781	179.1638555	10168.31683
74.19689119	171.5913307	10076.68394
73.09236948	162.8298417	10381.5261
78.34456208	157.4026632	10834.45621
70.63197026	147.5570729	11023.2342
76.64233577	143.6209542	11376.82482
68.66197183	145.1621582	11526.40845
72.16398986	211.6159482	12237.5317
74.75806452	214.2405914	12344.35484
68.79877582	215.0089263	12398.6228
64.6328928	211.6923642	12309.83847
61.95295795	202.8569732	12570.2067
61.60553633	203.0738178	12562.62976
60.78947368	190.8738192	12822.53711
60.15091864	186.5704287	13519.68504
61.99490121	178.606331	13623.32696
62.42367601	174.1640706	13901.55763
64.03067485	170.0102249	14120.2454
63.37935174	172.7255545	14221.4886
