254,621	58,145	119,406	117,683
298,163	73,368	92,651	90,123
387,411	71,084	87,691	83,576
467,197	83,567	78,793	74,789
566,547	93,813	79,497	54,316
653,789	101,378	77,082	32,817
710,926	155,579	67,758	57,425
851,381	160,432	71,956	89,519
987,364	176,283	91,123	121,374
1036,123	193,657	112,859	249,173
1292,341	278,624	153,717	384,136
1088,324	354,324	117,965	479,152
926,939	478,926	155,912	501,239
877,128	588,675	169,359	625,482
605,327	499,367	192,924	740,976
458,386	468,567	218,549	875,846
218,859	353,932	247,354	916,124
195,737	335,124	284,167	863,928
306,168	261,946	316,375	703,153
685,761	151,387	341,326	631,195
890,639	210,519	375,651	571,588
923,784	485,142	344,856	436,847
1031,438	688,125	348,314	441,842
1121,321	883,435	344,716	439,425
1291,845	972,834	329,942	322,147
1308,614	1080,562	349,316	235,954
1529,956	887,987	348,231	150,492
1730,129	688,951	347,987	254,897
1917,152	455,494	342,967	458,289
2278,654	211,209	132,856	672,164
2412,145	96,197	115,632	453,356
2186,243	77,325	93,135	227,168
1862,345	64,615	77,824	106,123
1632,879	52,534	63,453	82,659
1467,156	45,178	79,167	93,834
1270,531	36,176	80,836	91,345
1084,243	20,364	87,192	96,841
881,956	10,428	85,834	93,952
616,829	8,475	101,985	109,463
473,329	10,924	128,591	233,415
249,421	24,183	102,861	308,613
225,356	46,324	105,817	207,319
176,578	76,457	78,473	182,263
170,948	95,814	81,417	84,132
168,334	104,549	78,653	61,953
